# LM blend Table											
# SUNNY	CLOUDY	RAINY,	FOGGY	EXTRASUNNY	HURRICANE	EXTRACOLOURS				basic daytime ramp	
0.45	0.6	0.75	0.525	0.45	0.75	0.375		# Midnight		0.75	0.1
0.48	0.64	0.8	0.56	0.48	0.8	0.4		#  1am		0.8	0.2
0.51	0.68	0.85	0.595	0.51	0.85	0.425		#  2am		0.85	0.3
0.54	0.72	0.9	0.63	0.54	0.9	0.45		#  3am		0.9	0.4
0.57	0.76	0.95	0.665	0.57	0.95	0.475		#  4am		0.95	0.6
0.6	0.8	1	0.7	0.6	1	0.5		#  5am		1	0.8
0.6	0.8	1	0.7	0.6	1	0.5		#  6am		1	1
0.6	0.8	1	0.7	0.6	1	0.5		#  7am		1	1
0.6	0.8	1	0.7	0.6	1	0.5		#  8am		1	1
0.6	0.8	1	0.7	0.6	1	0.5		#  9am		1	1
0.6	0.8	1	0.7	0.6	1	0.5		# 10am		1	1
0.6	0.8	1	0.7	0.6	1	0.5		# 11am		1	1
0.6	0.8	1	0.7	0.6	1	0.5		# Midday		1	tweak here
0.6	0.8	1	0.7	0.6	1	0.5		#  1pm		1	1
0.6	0.8	1	0.7	0.6	1	0.5		#  2pm		1	1
0.6	0.8	1	0.7	0.6	1	0.5		#  3pm		1	1
0.6	0.8	1	0.7	0.6	1	0.5		#  4pm		1	1
0.6	0.8	1	0.7	0.6	1	0.5		#  5pm		1	1
0.6	0.8	1	0.7	0.6	1	0.5		#  6pm		1	0.8
0.57	0.76	0.95	0.665	0.57	0.95	0.475		#  7pm		0.95	0.6
0.54	0.72	0.9	0.63	0.54	0.9	0.45		#  8pm		0.9	0.5
0.51	0.68	0.85	0.595	0.51	0.85	0.425		#  9pm		0.85	0.4
0.48	0.64	0.8	0.56	0.48	0.8	0.4		# 10pm		0.8	0.3
0.45	0.6	0.75	0.525	0.45	0.75	0.375		# 11pm		0.75	0.2

											
											
											
